"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPLP11",1.47566253842655e-151,0.390982157356137,1,0.998,2.79165839019535e-147,"9","RPLP1"
"RPL361",8.33240270538639e-143,0.472881814680859,0.994,0.959,1.576323943805e-138,"9","RPL36"
"RPL23A1",5.3759786799595e-133,0.399095831202292,0.995,0.968,1.01702764667474e-128,"9","RPL23A"
"RPS15A1",1.14742851979645e-132,0.412997677170846,0.998,0.979,2.17070527375092e-128,"9","RPS15A"
"RPS4X2",3.46764255463457e-129,0.325630826361442,1,0.997,6.56008618485769e-125,"9","RPS4X"
"RPS81",1.05386590422645e-126,0.365377425183912,1,0.992,1.9937035176156e-122,"9","RPS8"
"RPL13A1",5.41040967685393e-124,0.338466677516189,1,0.999,1.02354130266723e-119,"9","RPL13A"
"RPL321",1.31872335647993e-123,0.348051267466388,1,0.994,2.49476084578873e-119,"9","RPL32"
"RPL411",9.06338534025216e-123,0.381853494043413,1,0.994,1.7146112386689e-118,"9","RPL41"
"RPL35A1",6.20853703841958e-122,0.379186629399001,0.998,0.981,1.17453103692822e-117,"9","RPL35A"
"RPL341",5.20913992449696e-119,0.377760627360448,1,0.994,9.85465090916334e-115,"9","RPL34"
"RPS152",1.3957184741908e-115,0.360561601502933,0.999,0.985,2.64042020947415e-111,"9","RPS15"
"SEPP12",2.03879885491197e-115,0.480046503875897,0.656,0.46,3.85699967372247e-111,"9","SEPP1"
"CALD13",1.07533829016777e-110,0.474173997085866,0.666,0.486,2.03432497733939e-106,"9","CALD1"
"RPS3A1",1.12818443400918e-109,0.300999400539086,1,0.994,2.13429931225858e-105,"9","RPS3A"
"RPS231",1.43242008372854e-106,0.371640635997402,0.995,0.977,2.70985231439765e-102,"9","RPS23"
"C1S1",3.73173165056833e-105,0.363415844699479,0.437,0.242,7.05968993654516e-101,"9","C1S"
"RPS141",1.70682200011475e-103,0.314913783443941,0.999,0.994,3.22896585981709e-99,"9","RPS14"
"RARRES2",1.34328165143688e-102,0.394459676828189,0.469,0.281,2.54122022818829e-98,"9","RARRES2"
"OGN2",1.32173951271427e-100,0.351762954690755,0.355,0.182,2.50046681015286e-96,"9","OGN"
"LUM4",3.04755393431928e-99,0.481803101518451,0.562,0.355,5.76536253294522e-95,"9","LUM"
"ITM2B1",1.71834258489296e-98,0.406186070000393,0.874,0.753,3.2507605021005e-94,"9","ITM2B"
"RPL301",2.78272318145489e-98,0.400035488118585,0.98,0.936,5.26435571467636e-94,"9","RPL30"
"RPL181",1.78383498358029e-94,0.347006175586532,0.995,0.973,3.3746590219372e-90,"9","RPL18"
"RPS241",2.79531360338579e-94,0.372003287218593,0.983,0.951,5.28817427488523e-90,"9","RPS24"
"LGALS12",7.02253680048762e-94,0.496190929125433,0.689,0.528,1.32852351191625e-89,"9","LGALS1"
"RPL211",7.55732436947284e-91,0.294492190764717,0.999,0.995,1.42969462421687e-86,"9","RPL21"
"RPL61",7.86820207261777e-91,0.305230845271001,0.995,0.973,1.48850646809783e-86,"9","RPL6"
"CLDN11",3.86914832576691e-88,0.399800612321194,0.251,0.115,7.31965480268585e-84,"9","CLDN11"
"MDK1",4.53123648720109e-86,0.423970528567247,0.604,0.437,8.57219318648701e-82,"9","MDK"
"RPL33",4.98200217993909e-86,0.260299828701882,1,0.999,9.42495172400876e-82,"9","RPL3"
"RPS71",8.83355833834153e-86,0.337954666657118,0.994,0.961,1.67113256644745e-81,"9","RPS7"
"NGFRAP12",4.39590527486222e-85,0.355014239155439,0.534,0.351,8.31617359898436e-81,"9","NGFRAP1"
"RPS131",1.96819203471618e-82,0.316573379695249,0.995,0.965,3.72342569127608e-78,"9","RPS13"
"RPL101",8.54829546940484e-82,0.25468165374322,1,0.999,1.61716653690201e-77,"9","RPL10"
"RPS271",1.01222106189269e-79,0.328115944518795,1,0.993,1.91491980488859e-75,"9","RPS27"
"RPL18A3",6.29993136447243e-78,0.285916092198301,0.999,0.988,1.19182101553089e-73,"9","RPL18A"
"RPS27A1",1.08641078117774e-73,0.279867389449758,0.999,0.992,2.05527191583205e-69,"9","RPS27A"
"RPS251",2.7476269208461e-72,0.273562681982066,0.981,0.949,5.19796060885665e-68,"9","RPS25"
"CXCL121",8.29116181596142e-72,0.32506159253571,0.261,0.132,1.56852199234358e-67,"9","CXCL12"
"RPL292",3.53590021648115e-71,0.289514367996474,0.991,0.953,6.68921602953904e-67,"9","RPL29"
"RPL37A1",1.65046779596495e-68,0.328425160578682,0.978,0.931,3.1223549764065e-64,"9","RPL37A"
"LAPTM4A2",4.47142819344285e-68,0.351587261358306,0.829,0.714,8.45904785635519e-64,"9","LAPTM4A"
"SERPINF11",7.26301172392205e-68,0.276517546897839,0.366,0.213,1.37401655793157e-63,"9","SERPINF1"
"RPL27A1",2.80817511867195e-67,0.300536235263035,0.991,0.959,5.31250568950359e-63,"9","RPL27A"
"RPL392",1.81010504614975e-65,0.303755846050368,0.998,0.973,3.42435672630609e-61,"9","RPL39"
"RPL36A1",6.17299961962023e-65,0.373166628972664,0.839,0.72,1.16780806803976e-60,"9","RPL36A"
"RPL282",2.17280073814137e-64,0.323776032244562,0.965,0.906,4.11050443641585e-60,"9","RPL28"
"RPS162",6.39831759077288e-62,0.31677993210995,0.977,0.937,1.21043372182241e-57,"9","RPS16"
"RPLP21",6.46871257603185e-58,0.317973000080372,0.989,0.957,1.22375104513371e-53,"9","RPLP2"
"RPL351",8.36980327914194e-58,0.274330491516197,0.976,0.926,1.58339938434807e-53,"9","RPL35"
"RPL241",7.22706819845038e-57,0.286383578551398,0.974,0.926,1.36721676178284e-52,"9","RPL24"
"RPL10A1",5.44808184590721e-56,0.2658300146157,0.994,0.967,1.03066812360873e-51,"9","RPL10A"
"RPL23",2.49923990246531e-54,0.289386475621057,0.883,0.79,4.72806204748387e-50,"9","RPL23"
"RPS121",1.82975788987043e-52,0.308141621342813,0.992,0.97,3.46153597605687e-48,"9","RPS12"
"RPLP02",2.61598230558023e-52,0.271134606848557,0.975,0.937,4.94891532569668e-48,"9","RPLP0"
"RPL22",6.34190575434363e-51,0.274178152203476,0.889,0.825,1.19976173060673e-46,"9","RPL22"
"RPS292",1.33291178535011e-50,0.279503161771947,0.982,0.95,2.52160251552535e-46,"9","RPS29"
"RPL38",3.57599091576237e-50,0.322055233858871,0.884,0.803,6.76505961443925e-46,"9","RPL38"
"RPS201",6.05462770882957e-49,0.28728465722861,0.964,0.922,1.14541446995638e-44,"9","RPS20"
"PFDN5",7.4452610892706e-49,0.260850023657638,0.831,0.748,1.40849449286821e-44,"9","PFDN5"
"PEBP11",2.91473066297021e-45,0.311004516602315,0.468,0.362,5.51408746820705e-41,"9","PEBP1"
"HMGN22",4.95057971315477e-45,0.307420157770626,0.579,0.471,9.3655067013462e-41,"9","HMGN2"
"RPS171",6.04359260572045e-45,0.256027027523024,0.966,0.912,1.14332684915019e-40,"9","RPS17"
"ST132",7.94976538282762e-45,0.273699408614277,0.796,0.678,1.50393661512333e-40,"9","ST13"
"BST21",1.524597919104e-42,0.308063674688597,0.697,0.622,2.88423434336094e-38,"9","BST2"
"RPL37",4.35540465503078e-42,0.319577473282666,0.92,0.855,8.23955452638724e-38,"9","RPL37"
"C72",1.97995595805342e-40,0.333457322352624,0.373,0.256,3.74568068144545e-36,"9","C7"
"RPS11",2.6885911413165e-36,0.256456878367965,0.848,0.789,5.08627672114255e-32,"9","RPS11"
"COX6C1",1.02442586379278e-35,0.286010269139377,0.454,0.357,1.93800884912319e-31,"9","COX6C"
"IGFBP53",5.29128735419377e-34,0.327438639390345,0.477,0.361,1.00100574166638e-29,"9","IGFBP5"
"S100A62",2.82912277040285e-31,0.309916620139264,0.527,0.434,5.3521344570481e-27,"9","S100A6"
"TOMM7",1.43272125936816e-27,0.25190972324661,0.523,0.447,2.71042207847269e-23,"9","TOMM7"
"PSAP1",1.90116261023794e-27,0.253463335925564,0.447,0.368,3.59661942604814e-23,"9","PSAP"
"RBP11",0,1.69270275323181,0.772,0.346,0,"10","RBP1"
"TMSB101",0,1.48298589393823,0.996,0.916,0,"10","TMSB10"
"SERPINE21",0,1.37110247025421,0.655,0.2,0,"10","SERPINE2"
"MT-CO21",0,1.29917111971998,0.987,0.855,0,"10","MT-CO2"
"MT-ND41",0,1.25813156198429,0.999,0.953,0,"10","MT-ND4"
"MDK2",0,1.12527376810136,0.729,0.432,0,"10","MDK"
"MT-CO31",0,1.09436289038043,0.993,0.927,0,"10","MT-CO3"
"MT-CO11",0,1.07317690761927,0.997,0.974,0,"10","MT-CO1"
"GSTA11",0,1.02339378189216,0.567,0.085,0,"10","GSTA1"
